FIPS.y,original,comparison,original_pop,comparison_pop,original_college_share,comparison_college_share
27049,"Blue Earth County, Minnesota","Goodhue County, Minnesota",66322,46217,0.1855342118753958,0.038384144362464026
06061,"San Luis Obispo County, California","Placer County, California",281455,380077,0.1320637402071379,0.0655603996032383
08049,"Alamosa County, Colorado","Grand County, Colorado",16444,15066,0.12411821941133544,0.021505376344086023
08123,"Larimer County, Colorado","Weld County, Colorado",338161,295123,0.12306859750237313,0.06640621029197995
13113,"Clarke County, Georgia","Fayette County, Georgia",124602,111369,0.26554950963868956,0.05921755605240237
16017,"Madison County, Idaho","Bonner County, Idaho",38705,42711,0.29244283684278516,0.02353023811196179
19043,"Jefferson County, Iowa","Clayton County, Iowa",18077,17672,0.13436964098025114,0.031009506564056134
20209,"Douglas County, Kansas","Wyandotte County, Kansas",119319,164345,0.2143078637936959,0.04608597766892817
26145,"Kalamazoo County, Michigan","Saginaw County, Michigan",261573,192778,0.12968846172961276,0.07105063855834172
26159,"Isabella County, Michigan","Van Buren County, Michigan",70775,75272,0.26814553161427057,0.04334945265171644
27111,"Rice County, Minnesota","Otter Tail County, Minnesota",65765,57992,0.12163004637725233,0.028831562974203338
29113,"Pulaski County, Missouri","Lincoln County, Missouri",52591,55563,0.11766271795554373,0.03190972409697101
30013,"Missoula County, Montana","Cascade County, Montana",115983,81746,0.11445642895941646,0.051452058816333524
33003,"Grafton County, New Hampshire","Carroll County, New Hampshire",89811,47840,0.11251405729810379,0.03181438127090301
39045,"Portage County, Ohio","Fairfield County, Ohio",162644,152910,0.12585155308526597,0.052965796873978156
48139,"Hays County, Texas","Ellis County, Texas",204150,168838,0.14108253734998774,0.05655717314822493
53047,"Whitman County, Washington","Okanogan County, Washington",48593,41638,0.3758360257650279,0.02668235746193381
01003,"Tuscaloosa County, Alabama","Baldwin County, Alabama",206213,208107,0.13341544907450065,0.039258650598009676
01023,"Sumter County, Alabama","Choctaw County, Alabama",12985,13075,0.14909510974201,0.03564053537284895
01079,"Pike County, Alabama","Lawrence County, Alabama",33403,33171,0.18797712780289197,0.04579301196828555
01091,"Macon County, Alabama","Marengo County, Alabama",19054,19538,0.15576781778104334,0.033370867028355
01103,"Lee County, Alabama","Morgan County, Alabama",159287,119122,0.17937433688876053,0.04565907221168214
04003,"Coconino County, Arizona","Cochise County, Arizona",140217,126279,0.18299492928817476,0.05226522224597914
05001,"Drew County, Arkansas","Arkansas County, Arkansas",18502,18124,0.12371635498864987,0.03271904656808652
05007,"Washington County, Arkansas","Benton County, Arkansas",228529,258980,0.1176349609896337,0.04245887713336937
05033,"Pope County, Arkansas","Crawford County, Arkansas",63644,62472,0.10544591791842121,0.04435587143040082
05057,"Clark County, Arkansas","Hempstead County, Arkansas",22385,22018,0.1820415456779093,0.03551639567626488
05111,"Columbia County, Arkansas","Poinsett County, Arkansas",23892,24054,0.11824041520174117,0.02822815332169286
05125,"Faulkner County, Arkansas","Saline County, Arkansas",122416,118009,0.11836688014638609,0.0502927742799278
06017,"Yolo County, California","El Dorado County, California",214977,186661,0.197616489205822,0.05080332795817016
06041,"Butte County, California","Marin County, California",227075,260295,0.1268831883738853,0.05779212047868764
06047,"Santa Cruz County, California","Merced County, California",273765,269075,0.1335342355670009,0.08094397472823563
06055,"Humboldt County, California","Napa County, California",135768,140530,0.10326439219845619,0.0704333594250338
06095,"Santa Barbara County, California","Solano County, California",443738,438530,0.1298852025294205,0.06801815155177525
08035,"Boulder County, Colorado","Douglas County, Colorado",321030,328614,0.13585023206553903,0.05287662728915993
08093,"Gunnison County, Colorado","Park County, Colorado",16537,17392,0.1505109753885227,0.033348666053357866
09007,"Tolland County, Connecticut","Middlesex County, Connecticut",151269,163368,0.16438265606304,0.07595122667841928
12109,"Alachua County, Florida","St. Johns County, Florida",263148,235503,0.21200617143204584,0.055523708827488395
12111,"Leon County, Florida","St. Lucie County, Florida",288102,305591,0.2052259269286572,0.05545320379199649
13011,"Lamar County, Georgia","Banks County, Georgia",18513,18510,0.11078701453033003,0.03868179362506753
13013,"Bulloch County, Georgia","Barrow County, Georgia",74782,76887,0.2275547591666444,0.04700404489705672
13045,"Lowndes County, Georgia","Carroll County, Georgia",114582,116022,0.11651917404129794,0.09620589198600266
13049,"Bleckley County, Georgia","Charlton County, Georgia",12775,12983,0.13150684931506848,0.042132018793807284
13063,"Chatham County, Georgia","Clayton County, Georgia",287049,278666,0.10645220850795509,0.06911858640810145
13071,"Baldwin County, Georgia","Colquitt County, Georgia",45286,45606,0.14079406439076095,0.03328509406657019
13123,"Sumter County, Georgia","Gilmer County, Georgia",30352,29922,0.1070110701107011,0.026168036895929416
13207,"Peach County, Georgia","Monroe County, Georgia",26966,27010,0.13075724987020693,0.0439837097371344
13227,"Lumpkin County, Georgia","Pickens County, Georgia",31951,30832,0.13188945572908517,0.03833679294239751
13235,"Towns County, Georgia","Pulaski County, Georgia",11417,11295,0.11430323202242271,0.037096060203629926
13271,"Dade County, Georgia","Telfair County, Georgia",16227,16115,0.10328464904172059,0.017126900403350916
13297,"Dougherty County, Georgia","Walton County, Georgia",91049,90132,0.10920493360717855,0.051646474060267164
16069,"Latah County, Idaho","Nez Perce County, Idaho",39239,40155,0.2491144014883152,0.05560951313659569
17107,"McDonough County, Illinois","Logan County, Illinois",30875,29207,0.22267206477732793,0.06279316602184408
17115,"DeKalb County, Illinois","Macon County, Illinois",104200,106512,0.16814779270633398,0.05029480246357218
17141,"Coles County, Illinois","Ogle County, Illinois",51736,51328,0.15878691820009277,0.04841412094763092
17143,"McLean County, Illinois","Peoria County, Illinois",173219,184463,0.15005282330460284,0.06961829743634225
17167,"Champaign County, Illinois","Sangamon County, Illinois",209448,197661,0.23323211489247928,0.05887858505218531
17195,"Jackson County, Illinois","Whiteside County, Illinois",58551,56396,0.23102935902034125,0.03681112135612455
18019,"Delaware County, Indiana","Clark County, Indiana",115616,115702,0.1593378079158594,0.0494459905619609
18081,"Monroe County, Indiana","Johnson County, Indiana",145403,151564,0.27556515340123655,0.05456440843472064
