week,rate,category,variable
2020-03-12T00:00:00Z,1.799779703008792e-5,non-student county,cases
2020-03-12T00:00:00Z,3.592966806372863e-7,non-student county,deaths
2020-03-19T00:00:00Z,1.8252930636338617e-4,non-student county,cases
2020-03-19T00:00:00Z,3.078744034084637e-6,non-student county,deaths
2020-03-26T00:00:00Z,0.00045330385527118326,non-student county,cases
2020-03-26T00:00:00Z,1.4454274721050463e-5,non-student county,deaths
2020-04-02T00:00:00Z,6.896188858360245e-4,non-student county,cases
2020-04-02T00:00:00Z,3.446281464277824e-5,non-student county,deaths
2020-04-09T00:00:00Z,6.574469995697868e-4,non-student county,cases
2020-04-09T00:00:00Z,4.377156534112408e-5,non-student county,deaths
2020-04-16T00:00:00Z,6.266496703294733e-4,non-student county,cases
2020-04-16T00:00:00Z,4.450993650133282e-5,non-student county,deaths
2020-04-23T00:00:00Z,6.30470081823589e-4,non-student county,cases
2020-04-23T00:00:00Z,4.2251971123015925e-5,non-student county,deaths
2020-04-30T00:00:00Z,5.845262548995294e-4,non-student county,cases
2020-04-30T00:00:00Z,3.9634709064061745e-5,non-student county,deaths
2020-05-07T00:00:00Z,4.994619416836963e-4,non-student county,cases
2020-05-07T00:00:00Z,3.199058977600792e-5,non-student county,deaths
2020-05-14T00:00:00Z,4.908223398492896e-4,non-student county,cases
2020-05-14T00:00:00Z,4.357049105196009e-5,non-student county,deaths
2020-05-21T00:00:00Z,4.523182616242975e-4,non-student county,cases
2020-05-21T00:00:00Z,2.1913801219052105e-5,non-student county,deaths
2020-05-28T00:00:00Z,4.5396970783530006e-4,non-student county,cases
2020-05-28T00:00:00Z,2.1603949035750224e-5,non-student county,deaths
2020-06-04T00:00:00Z,4.393308403241974e-4,non-student county,cases
2020-06-04T00:00:00Z,1.7177018374320174e-5,non-student county,deaths
2020-06-11T00:00:00Z,4.951108259181805e-4,non-student county,cases
2020-06-11T00:00:00Z,1.5024534590318816e-5,non-student county,deaths
2020-06-18T00:00:00Z,6.686115670681215e-4,non-student county,cases
2020-06-18T00:00:00Z,1.3389569878428045e-5,non-student county,deaths
2020-06-25T00:00:00Z,9.265107688697788e-4,non-student county,cases
2020-06-25T00:00:00Z,1.777364864216741e-5,non-student county,deaths
2020-07-02T00:00:00Z,0.0011224362377112377,non-student county,cases
2020-07-02T00:00:00Z,1.3214865987842942e-5,non-student county,deaths
2020-07-09T00:00:00Z,0.001364476941067519,non-student county,cases
2020-07-09T00:00:00Z,1.661335110469654e-5,non-student county,deaths
2020-07-16T00:00:00Z,0.0014375196488312036,non-student county,cases
2020-07-16T00:00:00Z,1.9042724073776175e-5,non-student county,deaths
2020-07-23T00:00:00Z,0.0013990485336044351,non-student county,cases
2020-07-23T00:00:00Z,2.305102465776645e-5,non-student county,deaths
2020-07-30T00:00:00Z,0.0012189420076104838,non-student county,cases
2020-07-30T00:00:00Z,2.244120919062977e-5,non-student county,deaths
2020-08-06T00:00:00Z,0.0011419931845573022,non-student county,cases
2020-08-06T00:00:00Z,2.3057617257411172e-5,non-student county,deaths
2020-08-13T00:00:00Z,0.0010335218463028875,non-student county,cases
2020-08-13T00:00:00Z,2.1778652926335327e-5,non-student county,deaths
2020-08-20T00:00:00Z,8.756126033127114e-4,non-student county,cases
2020-08-20T00:00:00Z,2.0532651593483087e-5,non-student county,deaths
2020-08-27T00:00:00Z,8.391753050763394e-4,non-student county,cases
2020-08-27T00:00:00Z,1.878561268763206e-5,non-student county,deaths
2020-09-03T00:00:00Z,7.103789821172504e-4,non-student county,cases
2020-09-03T00:00:00Z,1.559479445958717e-5,non-student county,deaths
2020-09-10T00:00:00Z,7.73068012138901e-4,non-student county,cases
2020-09-10T00:00:00Z,1.8446093805928936e-5,non-student county,deaths
2020-09-17T00:00:00Z,8.837742416728759e-4,non-student county,cases
